proc_n,arr_size,time
8,100,0.004271
8,300,0.009520
8,500,0.014996
8,700,0.021671
8,900,0.034052
8,1100,0.035292
8,1300,0.039624
8,1500,0.058075
8,1700,0.055340
8,1900,0.058930
8,2100,0.067409
8,2300,0.113048
8,2500,0.076284
8,2700,0.084611
8,2900,0.212482
8,3100,0.106723
8,3300,0.123479
8,3500,0.114563
8,3700,0.129928
8,3900,0.115460
8,4100,0.127830
8,4300,0.132279
8,4500,0.185582
8,4700,0.181036
8,4900,0.155171
8,5100,0.150453
8,5300,0.160696
8,5500,0.163895
8,5700,0.178426
8,5900,0.179501
8,6100,0.187107
8,6300,0.187020
8,6500,0.244796
8,6700,0.204412
8,6900,0.213964
8,7100,0.221242
8,7300,0.221970
8,7500,0.224525
8,7700,0.234701
8,7900,0.288614
8,8100,0.243255
8,8300,0.261027
8,8500,0.584163
8,8700,0.477828
8,8900,0.275100
8,9100,0.278943
8,9300,0.271192
8,9500,0.288541
8,9700,0.345779
8,9900,0.293897
8,10100,0.303248
8,10300,0.316163
8,10500,0.315437
8,10700,0.363943
8,10900,0.370904
8,11100,0.330935
8,11300,0.337384
8,11500,0.398358
8,11700,0.173218
8,11900,0.173586
8,12100,0.186831
8,12300,0.182631
8,12500,0.187629
8,12700,0.185469
8,12900,0.190712
8,13100,0.226993
8,13300,0.194851
8,13500,0.205949
8,13700,0.198681
8,13900,0.206529
8,14100,0.215709
8,14300,0.212200
8,14500,0.242305
8,14700,0.219998
8,14900,0.221491
8,15100,0.226919
8,15300,0.235959
8,15500,0.229237
8,15700,0.234230
8,15900,0.295528
8,16100,0.249397
8,16300,0.238854
8,16500,0.241876
8,16700,0.248511
8,16900,0.262558
8,17100,0.273296
8,17300,0.254838
8,17500,0.266715
8,17700,0.266031
8,17900,0.264928
8,18100,0.296716
8,18300,0.349737
8,18500,0.314423
8,18700,0.326265
8,18900,0.333856
8,19100,0.350905
8,19300,0.329514
8,19500,0.336653
8,19700,0.335893
8,19900,0.340900
