length,time,rate
1,0.000000,39591.024729
101,0.000000,4793431.569117
201,0.000000,9686046.783857
301,0.000000,12471320.631168
401,0.000000,14603590.810944
501,0.000000,16334182.368804
601,0.000000,18292010.185640
701,0.000000,19489613.984189
801,0.000000,20171939.977219
901,0.000000,22798294.558231
1001,0.000000,24098923.561577
1101,0.000001,10239872.025708
1201,0.000001,12392158.685086
1301,0.000001,13684275.575432
1401,0.000001,17543145.683283
1501,0.000001,22860449.975409
1601,0.000001,22791495.536638
1701,0.000001,23031966.841717
1801,0.000001,22947644.709941
1901,0.000001,23351083.109164
2001,0.000001,25217589.930754
2101,0.000001,25368689.711009
2201,0.000001,25357727.132970
2301,0.000001,27554947.477521
2401,0.000001,26374290.279270
2501,0.000001,23804878.052534
2601,0.000001,29593684.177849
2701,0.000001,32523311.035122
2801,0.000001,28040985.286888
2901,0.000001,29497407.792454
3001,0.000001,30695271.947938
3101,0.000001,35634513.538094
3201,0.000001,36374534.987408
3301,0.000001,37287795.760352
3401,0.000001,38650417.436341
3501,0.000001,39463839.615171
3601,0.000001,39863781.216688
3701,0.000001,36948434.669498
3801,0.000001,41823405.870692
3901,0.000001,41222243.209922
4001,0.000001,42394308.929607
4101,0.000001,43080163.400241
4201,0.000001,44304998.951520
4301,0.000001,44899013.761755
4401,0.000001,42379399.619854
4501,0.000001,37035094.271205
4601,0.000001,40992607.344399
4701,0.000001,44142295.758063
4801,0.000001,38753917.466832
4901,0.000001,40996556.792158
5001,0.000001,46668043.091941
5101,0.000001,43583390.296847
5201,0.000001,48875148.012859
5301,0.000001,48060980.604259
5401,0.000001,47729353.974299
5501,0.000001,48797363.648876
5601,0.000001,46101563.778576
5701,0.000001,38325341.886171
5801,0.000001,50804354.850014
5901,0.000001,48885455.522143
6001,0.000001,49550916.434138
6101,0.000001,48922821.862270
6201,0.000001,51675161.491248
6301,0.000001,52207325.473621
6401,0.000001,51707703.251520
6501,0.000001,49613598.137751
6601,0.000001,42566980.443304
6701,0.000001,55612612.227493
6801,0.000001,54751125.297495
6901,0.000001,52926548.212876
7001,0.000001,57606049.414711
7101,0.000001,58598113.781045
7201,0.000001,56139667.004418
7301,0.000001,57991274.704363
7401,0.000001,57449415.927165
7501,0.000001,53450433.562285
7601,0.000001,56146078.786387
7701,0.000001,60284454.798400
7801,0.000001,59200909.158265
7901,0.000001,59902064.938198
8001,0.000001,58915898.862132
8101,0.000001,59431199.912823
8201,0.000001,59341050.951362
8301,0.000001,45861530.061688
8401,0.000001,61242547.212210
8501,0.000001,60951793.693336
8601,0.000001,62481384.899591
8701,0.000001,58586822.685339
8801,0.000001,59517892.216370
8901,0.000001,60120565.336325
9001,0.000001,58594299.892548
9101,0.000001,62811976.444327
9201,0.000001,63583435.551583
9301,0.000001,64210421.850398
9401,0.000001,63654083.631481
9501,0.000001,65670878.380688
9601,0.000001,65325534.769533
9701,0.000001,66658707.383466
9801,0.000001,62465394.593045
9901,0.000001,69091727.452483
10001,0.000001,66169124.599153
