length,time,rate
1,0.000072,110.752528
101,0.000016,48974.407418
201,0.000023,69230.517863
301,0.000031,77028.644355
401,0.000037,85758.302148
501,0.000044,90834.108679
601,0.000051,94341.818066
701,0.000059,95833.996379
801,0.000064,99520.002356
901,0.000072,100236.261653
1001,0.000079,101222.134667
1101,0.000085,103755.992856
1201,0.000092,104912.372236
1301,0.000099,105013.836592
1401,0.000106,105525.881423
1501,0.000112,107063.317833
1601,0.000119,107275.689720
1701,0.000127,107549.206647
1801,0.000134,107898.907740
1901,0.000139,109371.474041
2001,0.000146,109484.734800
2101,0.000153,109565.123262
2201,0.000439,40099.608174
2301,0.000167,110233.104751
2401,0.000174,110350.203967
2501,0.000181,110309.470883
2601,0.000187,111304.695529
2701,0.000194,111296.285004
2801,0.000201,111384.460126
2901,0.000208,111550.315109
3001,0.000230,104609.754223
3101,0.000222,111944.217918
3201,0.000229,112026.789347
3301,0.000235,112529.260463
3401,0.000242,112499.213822
3501,0.000249,112565.786057
3601,0.000256,112528.584479
3701,0.000262,112897.252393
3801,0.000269,112897.991456
3901,0.000276,112902.009959
4001,0.000283,113268.676269
4101,0.000290,113094.077678
4201,0.000297,113031.338561
4301,0.000305,112975.200088
4401,0.000311,113248.223151
4501,0.000318,113357.704085
4601,0.000325,113327.408193
4701,0.000331,113511.981477
4801,0.000338,113651.346537
4901,0.000344,113870.384943
5001,0.000352,113731.260502
5101,0.000477,85482.526848
5201,0.000365,114008.351166
5301,0.000372,114045.472260
5401,0.000379,113887.580090
5501,0.000385,114285.269396
5601,0.000392,114210.689221
5701,0.000399,114237.810093
5801,0.000497,93353.549529
5901,0.000412,114470.931506
6001,0.000420,114326.672067
6101,0.000427,114393.405390
6201,0.000432,114707.329721
6301,0.000440,114662.795968
6401,0.000447,114648.331244
6501,0.000457,113879.190325
6601,0.000460,114806.650799
6701,0.000467,114791.085300
6801,0.000474,114738.039126
6901,0.000480,114980.048156
7001,0.000487,114983.097199
7101,0.000494,114909.215894
7201,0.000501,114923.493736
7301,0.000507,115112.996686
7401,0.000515,115031.801442
7501,0.000522,115027.262341
7601,0.000530,114823.988825
7701,0.000535,115208.979173
7801,0.000542,115184.655142
7901,0.000549,115100.684236
8001,0.000555,115267.483004
8101,0.000562,115238.876376
8201,0.000570,115138.415872
8301,0.000577,115048.390055
8401,0.000583,115315.132495
8501,0.000590,115276.277818
8601,0.000597,115217.927733
8701,0.000743,93662.288275
8801,0.000610,115349.410843
8901,0.000618,115306.747979
9001,0.000625,115285.146502
9101,0.000630,115493.476159
9201,0.000638,115418.378466
9301,0.000645,115414.394096
9401,0.000652,115373.300894
9501,0.000658,115482.778446
9601,0.000665,115480.386523
9701,0.000672,115404.580618
9801,0.000678,115588.805332
9901,0.000685,115581.379769
10001,0.000693,115524.075043
